Index,ID,TraitVal,TraitUnit,Phylum,Class,Order,Family,Genus,Species,Temp,TempUnit
56,K_Adamberg_Lactobacillus_delbrueckii_growth,0.00014438,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,delbrueckii,37.0083,Celsius
57,K_Adamberg_Lactobacillus_delbrueckii_growth,0.00016067,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,delbrueckii,38.0346,Celsius
58,K_Adamberg_Lactobacillus_delbrueckii_growth,0.00018637,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,delbrueckii,39.0068,Celsius
59,K_Adamberg_Lactobacillus_delbrueckii_growth,0.00023091,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,delbrueckii,40.0598,Celsius
60,K_Adamberg_Lactobacillus_delbrueckii_growth,0.00027545,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,delbrueckii,41.0317,Celsius
61,K_Adamberg_Lactobacillus_delbrueckii_growth,0.00028574,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,delbrueckii,42.004,Celsius
62,K_Adamberg_Lactobacillus_delbrueckii_growth,0.00029175,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,delbrueckii,43.0035,Celsius
63,K_Adamberg_Lactobacillus_delbrueckii_growth,0.00029776,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,delbrueckii,44.057,Celsius
64,K_Adamberg_Lactobacillus_delbrueckii_growth,0.00029863,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,delbrueckii,45.0025,Celsius
65,K_Adamberg_Lactobacillus_delbrueckii_growth,0.00029608,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,delbrueckii,46.0291,Celsius
66,K_Adamberg_Lactobacillus_delbrueckii_growth,0.00028667,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,delbrueckii,47.0288,Celsius
67,K_Adamberg_Lactobacillus_delbrueckii_growth,0.00023188,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,delbrueckii,48.0021,Celsius
68,K_Adamberg_Lactobacillus_delbrueckii_growth,0.00020792,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,delbrueckii,49.056,Celsius
69,K_Adamberg_Lactobacillus_delbrueckii_growth,0.00019167,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,delbrueckii,50.0558,Celsius
70,K_Adamberg_Lactobacillus_delbrueckii_growth,0.00018569,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,delbrueckii,51.0014,Celsius
71,K_Adamberg_Lactobacillus_acidophilus_growth,0.00011868,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,acidophilus,36.0361,Celsius
72,K_Adamberg_Lactobacillus_acidophilus_growth,0.00012298,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,acidophilus,37.0356,Celsius
73,K_Adamberg_Lactobacillus_acidophilus_growth,0.00012642,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,acidophilus,38.0351,Celsius
74,K_Adamberg_Lactobacillus_acidophilus_growth,0.00013585,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,acidophilus,39.0616,Celsius
75,K_Adamberg_Lactobacillus_acidophilus_growth,0.00014186,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,acidophilus,40.007,Celsius
76,K_Adamberg_Lactobacillus_acidophilus_growth,0.00014701,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,acidophilus,41.0065,Celsius
77,K_Adamberg_Lactobacillus_acidophilus_growth,0.00015302,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,acidophilus,42.0329,Celsius
78,K_Adamberg_Lactobacillus_acidophilus_growth,0.00014105,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,acidophilus,43.0867,Celsius
79,K_Adamberg_Lactobacillus_acidophilus_growth,0.00012821,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,acidophilus,44.0054,Celsius
80,K_Adamberg_Lactobacillus_acidophilus_growth,0.0001111,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,acidophilus,45.0592,Celsius
81,K_Adamberg_Lactobacillus_acidophilus_growth,0.000088,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,acidophilus,46.0051,Celsius
82,K_Adamberg_Lactobacillus_acidophilus_growth,0.0000469,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,acidophilus,47.0052,Celsius
83,K_Adamberg_Lactobacillus_acidophilus_growth,0.0000469,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,acidophilus,48.0047,Celsius
84,K_Adamberg_Lactobacillus_paracasei_growth,0.00000522,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,paracasei,6.05125,Celsius
85,K_Adamberg_Lactobacillus_paracasei_growth,0.00000352,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,paracasei,6.9968,Celsius
86,K_Adamberg_Lactobacillus_paracasei_growth,0.00000782,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,paracasei,7.99629,Celsius
