Index,ID,TraitVal,TraitUnit,Phylum,Class,Order,Family,Genus,Species,Temp,TempUnit,Label
93,K_Adamberg_Lactobacillus_paracasei_growth,0.0000131,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,paracasei,15.0201,Celsius,Growth
94,K_Adamberg_Lactobacillus_paracasei_growth,0.0000182,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,paracasei,16.0196,Celsius,Growth
95,K_Adamberg_Lactobacillus_paracasei_growth,0.0000182,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,paracasei,17.0191,Celsius,Growth
96,K_Adamberg_Lactobacillus_paracasei_growth,0.0000208,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,paracasei,18.0456,Celsius,Growth
97,K_Adamberg_Lactobacillus_paracasei_growth,0.0000251,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,paracasei,19.0181,Celsius,Growth
98,K_Adamberg_Lactobacillus_paracasei_growth,0.0000277,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,paracasei,20.0176,Celsius,Growth
99,K_Adamberg_Lactobacillus_paracasei_growth,0.0000286,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,paracasei,21.0172,Celsius,Growth
100,K_Adamberg_Lactobacillus_paracasei_growth,0.0000354,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,paracasei,22.0166,Celsius,Growth
101,K_Adamberg_Lactobacillus_paracasei_growth,0.0000389,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,paracasei,23.0161,Celsius,Growth
102,K_Adamberg_Lactobacillus_paracasei_growth,0.0000414,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,paracasei,24.0697,Celsius,Growth
103,K_Adamberg_Lactobacillus_paracasei_growth,0.0000466,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,paracasei,25.0421,Celsius,Growth
104,K_Adamberg_Lactobacillus_paracasei_growth,0.00005,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,paracasei,26.0956,Celsius,Growth
105,K_Adamberg_Lactobacillus_paracasei_growth,0.000056,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,paracasei,27.0411,Celsius,Growth
106,K_Adamberg_Lactobacillus_paracasei_growth,0.000068,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,paracasei,28.0134,Celsius,Growth
107,K_Adamberg_Lactobacillus_paracasei_growth,0.0000723,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,paracasei,29.0399,Celsius,Growth
108,K_Adamberg_Lactobacillus_paracasei_growth,0.0000732,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,paracasei,30.0395,Celsius,Growth
109,K_Adamberg_Lactobacillus_paracasei_growth,0.0000784,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,paracasei,31.0119,Celsius,Growth
110,K_Adamberg_Lactobacillus_paracasei_growth,0.0000792,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,paracasei,32.0115,Celsius,Growth
111,K_Adamberg_Lactobacillus_paracasei_growth,0.0000818,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,paracasei,33.011,Celsius,Growth
112,K_Adamberg_Lactobacillus_paracasei_growth,0.0000835,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,paracasei,34.0105,Celsius,Growth
113,K_Adamberg_Lactobacillus_paracasei_growth,0.0000784,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,paracasei,35.0101,Celsius,Growth
114,K_Adamberg_Lactobacillus_paracasei_growth,0.0000801,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,paracasei,36.0097,Celsius,Growth
115,K_Adamberg_Lactobacillus_paracasei_growth,0.0000793,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,paracasei,37.0092,Celsius,Growth
116,K_Adamberg_Lactobacillus_paracasei_growth,0.000075,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,paracasei,38.0899,Celsius,Growth
117,K_Adamberg_Lactobacillus_paracasei_growth,0.0000716,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,paracasei,39.0355,Celsius,Growth
118,K_Adamberg_Lactobacillus_paracasei_growth,0.0000622,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,paracasei,40.0351,Celsius,Growth
119,K_Adamberg_Lactobacillus_paracasei_growth,0.0000554,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,paracasei,41.0348,Celsius,Growth
120,K_Adamberg_Lactobacillus_paracasei_growth,0.0000545,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,paracasei,42.0073,Celsius,Growth
121,Alain_2002_M_piezophila ,0,s^-1,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Marinitoga,piezophila,40.0738,Celsius,Growth
122,Alain_2002_M_piezophila ,0.00017058,s^-1,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Marinitoga,piezophila,44.9868,Celsius,Growth
123,Alain_2002_M_piezophila ,0.00019787,s^-1,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Marinitoga,piezophila,49.8644,Celsius,Growth
124,Alain_2002_M_piezophila ,0.00029129,s^-1,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Marinitoga,piezophila,54.9059,Celsius,Growth
125,Alain_2002_M_piezophila ,0.00046738,s^-1,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Marinitoga,piezophila,59.8203,Celsius,Growth
126,Alain_2002_M_piezophila ,0.00052883,s^-1,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Marinitoga,piezophila,65.0015,Celsius,Growth
127,Alain_2002_M_piezophila ,0.00041061,s^-1,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Marinitoga,piezophila,69.8431,Celsius,Growth
128,Alain_2002_M_piezophila ,0.00000028,s^-1,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Marinitoga,piezophila,74.9078,Celsius,Growth
129,Alain_2003_D_crinifex,-0.0000005,s^-1,Aquificae,Aquificae,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,crinifex,44.8806,Celsius,Growth
130,Alain_2003_D_crinifex,0.0000438,s^-1,Aquificae,Aquificae,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,crinifex,49.9344,Celsius,Growth
131,Alain_2003_D_crinifex,0.0000771,s^-1,Aquificae,Aquificae,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,crinifex,54.849,Celsius,Growth
132,Alain_2003_D_crinifex,0.00015217,s^-1,Aquificae,Aquificae,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,crinifex,59.8903,Celsius,Growth
133,Alain_2003_D_crinifex,0.0001421,s^-1,Aquificae,Aquificae,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,crinifex,64.8705,Celsius,Growth
134,Alain_2003_D_crinifex,0.0000461,s^-1,Aquificae,Aquificae,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,crinifex,69.9813,Celsius,Growth
