Index,ID,TraitVal,TraitUnit,Phylum,Class,Order,Family,Genus,Species,Temp,TempUnit,Label
45,Boyd_Caldisphaera_draconis_Sulphide,0.013836111,umol L^-1 s^-1,Crenarchaeota,Thermoprotei,Acidilobales,Caldisphaeraceae,Caldisphaera,draconis,75,Celsius,Respiration
46,Boyd_Caldisphaera_draconis_Sulphide,0.005194444,umol L^-1 s^-1,Crenarchaeota,Thermoprotei,Acidilobales,Caldisphaeraceae,Caldisphaera,draconis,79,Celsius,Respiration
47,Ferguson_1983_Methanomicrobiaceae,0.000268391,s^-1,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,,,39.963,Celsius,Respiration
48,Ferguson_1983_Methanomicrobiaceae,0.00080505,s^-1,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,,,44.9691,Celsius,Respiration
49,Ferguson_1983_Methanomicrobiaceae,0.001777072,s^-1,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,,,50.0106,Celsius,Respiration
50,Ferguson_1983_Methanomicrobiaceae,0.002385417,s^-1,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,,,54.9628,Celsius,Respiration
51,Ferguson_1983_Methanomicrobiaceae,0.002426088,s^-1,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,,,59.9287,Celsius,Respiration
52,Ferguson_1983_Methanomicrobiaceae,0.002158056,s^-1,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,,,64.9892,Celsius,Respiration
53,Ferguson_1983_Methanomicrobiaceae,0.0000603,s^-1,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,,,70.0807,Celsius,Respiration
54,Ferguson_1983_Methanomicrobiaceae,-0.00000177,s^-1,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,,,80.1205,Celsius,Respiration
55,Golyshina_2000_iron,6.79245,mM,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Ferroplasmaceae,Ferroplasma,acidiphilum,15.2975,Celsius,Respiration
56,Golyshina_2000_iron,33.9623,mM,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Ferroplasmaceae,Ferroplasma,acidiphilum,20.2266,Celsius,Respiration
57,Golyshina_2000_iron,46.0377,mM,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Ferroplasmaceae,Ferroplasma,acidiphilum,25.3258,Celsius,Respiration
58,Golyshina_2000_iron,52.0755,mM,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Ferroplasmaceae,Ferroplasma,acidiphilum,29.5751,Celsius,Respiration
